human,gender,cause,date_of_birth,date_of_death,country,occupation,religion
"Robert Stewart, Viscount Castlereagh",male,suicide,1769-06-18T00:00:00Z,1822-08-12T00:00:00Z,Kingdom of Great Britain,politician,Presbyterianism
Ludwig Müller,male,suicide,1883-06-23T00:00:00Z,1945-07-31T00:00:00Z,Germany,priest,Lutheranism
Sylvia Plath,female,suicide,1932-10-27T00:00:00Z,1963-02-11T00:00:00Z,United States of America,essayist,Unitarianism
Phyllis Hyman,female,suicide,1949-07-06T00:00:00Z,1995-06-30T00:00:00Z,United States of America,film actor,Lutheranism
Wilhelm Kube,male,homicide,1887-11-13T00:00:00Z,1943-09-22T00:00:00Z,Germany,politician,Evangelical Church in Germany
Milan Nedić,male,suicide,1877-09-07T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Yugoslavia,politician,Serbian Orthodox Church
"Robert Stewart, Viscount Castlereagh",male,suicide,1769-06-18T00:00:00Z,1822-08-12T00:00:00Z,Kingdom of Great Britain,diplomat,Presbyterianism
András Komáromy,male,suicide,1861-11-18T00:00:00Z,1931-12-05T00:00:00Z,Hungary,archivist,Calvinism
Piet Paaltjens,male,suicide,1835-02-14T00:00:00Z,1894-01-19T00:00:00Z,Kingdom of the Netherlands,writer,Calvinism
Sylvia Plath,female,suicide,1932-10-27T00:00:00Z,1963-02-11T00:00:00Z,United States of America,children's writer,Unitarianism
Sylvia Plath,female,suicide,1932-10-27T00:00:00Z,1963-02-11T00:00:00Z,United States of America,autobiographer,Unitarianism
Piet Paaltjens,male,suicide,1835-02-14T00:00:00Z,1894-01-19T00:00:00Z,Kingdom of the Netherlands,poet,Calvinism
Hermann Göring,male,suicide,1893-01-12T00:00:00Z,1946-10-15T00:00:00Z,Nazi Germany,politician,Lutheranism
Hermann Göring,male,suicide,1893-01-12T00:00:00Z,1946-10-15T00:00:00Z,German Empire,aircraft pilot,Lutheranism
Alice Herz,female,suicide,1882-05-25T00:00:00Z,1965-03-17T00:00:00Z,Germany,language teacher,Religious Society of Friends
John Bruckner,male,suicide,1726-12-31T00:00:00Z,1804-05-12T00:00:00Z,Netherlands,writer,Lutheranism
John Brown,male,suicide,1715-11-05T00:00:00Z,1766-09-23T00:00:00Z,Kingdom of Great Britain,Anglican priest,Church of England
John Brown,male,suicide,1715-11-05T00:00:00Z,1766-09-23T00:00:00Z,Kingdom of Great Britain,satirist,Church of England
"Robert Stewart, Viscount Castlereagh",male,suicide,1769-06-18T00:00:00Z,1822-08-12T00:00:00Z,United Kingdom of Great Britain and Ireland,politician,Presbyterianism
Phyllis Hyman,female,suicide,1949-07-06T00:00:00Z,1995-06-30T00:00:00Z,United States of America,stage actor,Lutheranism
"Robert Stewart, Viscount Castlereagh",male,suicide,1769-06-18T00:00:00Z,1822-08-12T00:00:00Z,United Kingdom of Great Britain and Ireland,diplomat,Presbyterianism
Hermann Göring,male,suicide,1893-01-12T00:00:00Z,1946-10-15T00:00:00Z,German Empire,politician,Lutheranism
Nanavira Thera,male,suicide,1920-01-05T00:00:00Z,1965-07-05T00:00:00Z,Sri Lanka,monk,Theravada
Emil Sembach,male,homicide,1891-04-02T00:00:00Z,1934-07-01T00:00:00Z,Germany,politician,Lutheranism
Manfred Freiherr von Killinger,male,suicide,1886-07-14T00:00:00Z,1944-09-03T00:00:00Z,Germany,politician,Lutheranism
Manfred Freiherr von Killinger,male,suicide,1886-07-14T00:00:00Z,1944-09-03T00:00:00Z,Germany,writer,Lutheranism
Louis Mountbatten,male,homicide,1900-06-25T00:00:00Z,1979-08-27T00:00:00Z,United Kingdom,politician,Church of England
Manfred Freiherr von Killinger,male,suicide,1886-07-14T00:00:00Z,1944-09-03T00:00:00Z,Germany,diplomat,Lutheranism
Louis Mountbatten,male,homicide,1900-06-25T00:00:00Z,1979-08-27T00:00:00Z,United Kingdom,diplomat,Church of England
Paul Giesler,male,suicide,1895-06-15T00:00:00Z,1945-05-08T00:00:00Z,Germany,architect,Lutheranism
Paul Giesler,male,suicide,1895-06-15T00:00:00Z,1945-05-08T00:00:00Z,Germany,politician,Lutheranism
Frère Roger,male,homicide,1915-05-12T00:00:00Z,2005-08-16T00:00:00Z,Switzerland,theologian,Calvinism
Hermann Göring,male,suicide,1893-01-12T00:00:00Z,1946-10-15T00:00:00Z,Nazi Germany,war criminal,Lutheranism
Milan Nedić,male,suicide,1877-07-20T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Yugoslavia,politician,Serbian Orthodox Church
Nanavira Thera,male,suicide,1920-01-05T00:00:00Z,1965-07-05T00:00:00Z,United Kingdom,monk,Theravada
Milan Nedić,male,suicide,1878-09-02T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Serbia,politician,Serbian Orthodox Church
Alice Herz,female,suicide,1882-05-25T00:00:00Z,1965-03-26T00:00:00Z,Germany,peace activist,Religious Society of Friends
Jon Nödtveidt,male,suicide,1975-06-28T00:00:00Z,2006-08-14T00:00:00Z,Sweden,singer,satanism
Louis Mountbatten,male,homicide,1900-06-25T00:00:00Z,1979-08-27T00:00:00Z,United Kingdom,military personnel,Church of England
Jon Nödtveidt,male,suicide,1975-06-28T00:00:00Z,2006-08-14T00:00:00Z,Sweden,guitarist,satanism
Jon Nödtveidt,male,suicide,1975-06-28T00:00:00Z,2006-08-14T00:00:00Z,Sweden,singer-songwriter,satanism
Said Afandi al-Chirkawi,male,homicide,1937-10-21T00:00:00Z,2012-08-28T00:00:00Z,Russia,writer,Shafi`i
Bernhard Hirzel,male,suicide,1807-08-12T00:00:00Z,1847-06-06T00:00:00Z,Switzerland,theologian,Calvinism
Otto Weininger,male,suicide,1880-04-03T00:00:00Z,1903-10-04T00:00:00Z,Austria,philosopher,Lutheranism
Otto Weininger,male,suicide,1880-04-03T00:00:00Z,1903-10-04T00:00:00Z,Austria,psychologist,Lutheranism
Otto Weininger,male,suicide,1880-04-03T00:00:00Z,1903-10-04T00:00:00Z,Austria,writer,Lutheranism
Henning von Tresckow,male,suicide,1901-01-10T00:00:00Z,1944-07-21T00:00:00Z,Germany,military officer,Lutheranism
Bernhard Hirzel,male,suicide,1807-08-12T00:00:00Z,1847-06-06T00:00:00Z,Switzerland,university teacher,Calvinism
Jon Nödtveidt,male,suicide,1975-06-28T00:00:00Z,2006-08-14T00:00:00Z,Sweden,drummer,satanism
Egon Friedell,male,suicide,1878-01-21T00:00:00Z,1938-03-16T00:00:00Z,Austria,historian,Lutheranism
Egon Friedell,male,suicide,1878-01-21T00:00:00Z,1938-03-16T00:00:00Z,Austria,philosopher,Lutheranism
Egon Friedell,male,suicide,1878-01-21T00:00:00Z,1938-03-16T00:00:00Z,Austria,writer,Lutheranism
Erwin Rommel,male,suicide,1891-11-15T00:00:00Z,1944-10-14T00:00:00Z,Nazi Germany,military officer,Lutheranism
Egon Friedell,male,suicide,1878-01-21T00:00:00Z,1938-03-16T00:00:00Z,Austria,cultural historian,Lutheranism
Egon Friedell,male,suicide,1878-01-21T00:00:00Z,1938-03-16T00:00:00Z,Austria,journalist,Lutheranism
Hermann Göring,male,suicide,1893-01-12T00:00:00Z,1946-10-15T00:00:00Z,German Empire,war criminal,Lutheranism
Egon Friedell,male,suicide,1878-01-21T00:00:00Z,1938-03-16T00:00:00Z,Austria,translator,Lutheranism
Egon Friedell,male,suicide,1878-01-21T00:00:00Z,1938-03-16T00:00:00Z,Austria,film actor,Lutheranism
Jochen Klepper,male,suicide,1903-03-22T00:00:00Z,1942-12-11T00:00:00Z,Germany,writer,Lutheranism
Bernhard Hirzel,male,suicide,1807-08-12T00:00:00Z,1847-06-06T00:00:00Z,Switzerland,orientalist,Calvinism
Jochen Klepper,male,suicide,1903-03-22T00:00:00Z,1942-12-11T00:00:00Z,Germany,author,Lutheranism
Jochen Klepper,male,suicide,1903-03-22T00:00:00Z,1942-12-11T00:00:00Z,Germany,poet,Lutheranism
Jochen Klepper,male,suicide,1903-03-22T00:00:00Z,1942-12-11T00:00:00Z,Germany,journalist,Lutheranism
Egon Friedell,male,suicide,1878-01-21T00:00:00Z,1938-03-16T00:00:00Z,Austria,stage actor,Lutheranism
Jochen Klepper,male,suicide,1903-03-22T00:00:00Z,1942-12-11T00:00:00Z,Germany,diarist,Lutheranism
Alice Herz,female,suicide,1882-05-25T00:00:00Z,1965-03-26T00:00:00Z,Germany,language teacher,Religious Society of Friends
Said Afandi al-Chirkawi,male,homicide,1937-10-21T00:00:00Z,2012-08-28T00:00:00Z,Soviet Union,writer,Shafi`i
Erwin Rommel,male,suicide,1891-11-15T00:00:00Z,1944-10-14T00:00:00Z,German Empire,military officer,Lutheranism
Paul Giesler,male,suicide,1895-06-15T00:00:00Z,1945-05-04T00:00:00Z,Germany,architect,Lutheranism
Paul Giesler,male,suicide,1895-06-15T00:00:00Z,1945-05-04T00:00:00Z,Germany,politician,Lutheranism
Clara Immerwahr,female,suicide,1870-06-21T00:00:00Z,1915-05-02T00:00:00Z,German Empire,chemist,Lutheranism
Martin Haagen,male,suicide,1861-11-03T00:00:00Z,1913-03-26T00:00:00Z,Germany,politician,Lutheranism
William the Silent,male,homicide,1533-05-04T00:00:00Z,1584-07-10T00:00:00Z,Kingdom of the Netherlands,politician,Calvinism
Alice Herz,female,suicide,1882-05-25T00:00:00Z,1965-03-17T00:00:00Z,Germany,peace activist,Religious Society of Friends
Michael D. Harter,male,suicide,1846-04-06T00:00:00Z,1896-02-22T00:00:00Z,United States of America,politician,Lutheranism
Milan Nedić,male,suicide,1877-07-20T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Serbia,politician,Serbian Orthodox Church
Erwin Rommel,male,suicide,1891-11-15T00:00:00Z,1944-10-14T00:00:00Z,Weimar Republic,military officer,Lutheranism
Oskar Brüsewitz,male,suicide,1929-05-30T00:00:00Z,1976-08-22T00:00:00Z,Germany,parson,Lutheranism
Mahmoud Zuabi,male,suicide,1938-01-01T00:00:00Z,2000-05-21T00:00:00Z,Syria,politician,Sunni Islam
Sheikh Mujibur Rahman,male,homicide,1920-03-17T00:00:00Z,1975-08-15T00:00:00Z,Pakistan,politician,Sunni Islam
Heinrich Himmler,male,suicide,1900-10-07T00:00:00Z,1945-05-23T00:00:00Z,Germany,politician,Lapsed Catholic
Hrant Dink,male,homicide,1954-09-15T00:00:00Z,2007-01-19T00:00:00Z,Turkey,columnist,Armenian Apostolic Church
Gallienus,male,homicide,0218-01-01T00:00:00Z,0268-01-01T00:00:00Z,ancient Rome,politician,religion in ancient Rome
Sheikh Mujibur Rahman,male,homicide,1920-03-17T00:00:00Z,1975-08-15T00:00:00Z,Bangladesh,politician,Sunni Islam
Milan Babić,male,suicide,1956-02-26T00:00:00Z,2006-03-05T00:00:00Z,Serbia,politician,Serbian Orthodox Church
Milan Nedić,male,suicide,1877-07-20T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Serbia,military personnel,Serbian Orthodox Church
Publius Clodius Thrasea Paetus,male,suicide,0100-01-01T00:00:00Z,0066-01-01T00:00:00Z,ancient Rome,philosopher,religion in ancient Rome
Publius Clodius Thrasea Paetus,male,suicide,0100-01-01T00:00:00Z,0066-01-01T00:00:00Z,ancient Rome,politician,religion in ancient Rome
Publius Clodius Thrasea Paetus,male,suicide,0100-01-01T00:00:00Z,0066-01-01T00:00:00Z,ancient Rome,writer,religion in ancient Rome
,male,suicide,1871-01-01T00:00:00Z,1916-01-01T00:00:00Z,Russian Empire,opinion journalist,Armenian Apostolic Church
Hrant Dink,male,homicide,1954-09-15T00:00:00Z,2007-01-19T00:00:00Z,Turkey,opinion journalist,Armenian Apostolic Church
Eva Braun,female,suicide,1912-02-06T00:00:00Z,1945-04-30T00:00:00Z,Nazi Germany,photo lab technician,Lapsed Catholic
Adolf Hitler,male,suicide,1889-04-20T00:00:00Z,1945-04-30T00:00:00Z,Austria-Hungary,statesperson,Lapsed Catholic
Milan Nedić,male,suicide,1878-09-02T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Yugoslavia,military personnel,Serbian Orthodox Church
Milan Nedić,male,suicide,1878-09-02T00:00:00Z,1946-02-04T00:00:00Z,Principality of Serbia,politician,Serbian Orthodox Church
Jan Palach,male,suicide,1948-08-11T00:00:00Z,1969-01-19T00:00:00Z,Czechoslovakia,student,Evangelical Church of Czech Brethren
Milan Babić,male,suicide,1956-02-26T00:00:00Z,2006-03-05T00:00:00Z,Serbia,dentist,Serbian Orthodox Church
Jihadi Jake,male,suicide,1996-01-01T00:00:00Z,2015-03-11T00:00:00Z,Australia,criminal,Sunni Islam
Nero,male,suicide,0037-12-13T00:00:00Z,0068-06-07T00:00:00Z,ancient Rome,politician,religion in ancient Rome
Marcus Antonius,male,homicide,-142-01-01T00:00:00Z,-086-01-01T00:00:00Z,ancient Rome,lawyer,religion in ancient Rome
Heinrich Himmler,male,suicide,1900-10-07T00:00:00Z,1945-05-23T00:00:00Z,Germany,occultist,Lapsed Catholic
Nero,male,suicide,0037-12-13T00:00:00Z,0068-06-07T00:00:00Z,ancient Rome,poet,religion in ancient Rome
Marcus Antonius,male,homicide,-142-01-01T00:00:00Z,-086-01-01T00:00:00Z,ancient Rome,politician,religion in ancient Rome
Marcus Antonius,male,homicide,-142-01-01T00:00:00Z,-086-01-01T00:00:00Z,ancient Rome,soldier,religion in ancient Rome
Otho,male,suicide,0032-04-26T00:00:00Z,0069-04-14T00:00:00Z,ancient Rome,politician,religion in ancient Rome
Robin Williams,male,suicide,1951-07-21T00:00:00Z,2014-08-11T00:00:00Z,United States of America,actor,Episcopal Church
Milan Nedić,male,suicide,1877-09-07T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Yugoslavia,military personnel,Serbian Orthodox Church
Robin Williams,male,suicide,1951-07-21T00:00:00Z,2014-08-11T00:00:00Z,United States of America,comedian,Episcopal Church
Eva Braun,female,suicide,1912-02-06T00:00:00Z,1945-04-30T00:00:00Z,Nazi Germany,photographer,Lapsed Catholic
Robin Williams,male,suicide,1951-07-21T00:00:00Z,2014-08-11T00:00:00Z,United States of America,television actor,Episcopal Church
Robin Williams,male,suicide,1951-07-21T00:00:00Z,2014-08-11T00:00:00Z,United States of America,screenwriter,Episcopal Church
Robin Williams,male,suicide,1951-07-21T00:00:00Z,2014-08-11T00:00:00Z,United States of America,film producer,Episcopal Church
Milan Nedić,male,suicide,1877-09-07T00:00:00Z,1946-02-04T00:00:00Z,Principality of Serbia,politician,Serbian Orthodox Church
Milan Nedić,male,suicide,1878-09-02T00:00:00Z,1946-02-04T00:00:00Z,Principality of Serbia,military personnel,Serbian Orthodox Church
Eva Braun,female,suicide,1912-02-06T00:00:00Z,1945-04-30T00:00:00Z,Nazi Germany,model,Lapsed Catholic
Charles Blount,male,suicide,1654-04-27T00:00:00Z,1693-08-01T00:00:00Z,Kingdom of England,philosopher,deism
Robin Williams,male,suicide,1951-07-21T00:00:00Z,2014-08-11T00:00:00Z,United States of America,film actor,Episcopal Church
Robin Williams,male,suicide,1951-07-21T00:00:00Z,2014-08-11T00:00:00Z,United States of America,voice actor,Episcopal Church
Adolf Hitler,male,suicide,1889-04-20T00:00:00Z,1945-04-30T00:00:00Z,First Republic of Austria,statesperson,Lapsed Catholic
Eva Braun,female,suicide,1912-02-06T00:00:00Z,1945-04-30T00:00:00Z,German Empire,photo lab technician,Lapsed Catholic
Nero,male,suicide,0037-12-13T00:00:00Z,0068-06-07T00:00:00Z,ancient Rome,military personnel,religion in ancient Rome
Marcus Antonius,male,homicide,-142-01-01T00:00:00Z,-086-01-01T00:00:00Z,ancient Rome,military personnel,religion in ancient Rome
Ito Hirobumi,male,homicide,1841-10-16T00:00:00Z,1909-10-26T00:00:00Z,Japan,politician,Shinto
Ito Hirobumi,male,homicide,1841-10-16T00:00:00Z,1909-10-26T00:00:00Z,Japan,politician,Rinzai school
Joseph Goebbels,male,suicide,1897-10-29T00:00:00Z,1945-05-01T00:00:00Z,Germany,politician,Lapsed Catholic
Adolf Hitler,male,suicide,1889-04-20T00:00:00Z,1945-04-30T00:00:00Z,Republic of German-Austria,statesperson,Lapsed Catholic
Said Afandi al-Chirkawi,male,homicide,1937-10-21T00:00:00Z,2012-08-28T00:00:00Z,Russia,writer,Sunni Islam
Milan Nedić,male,suicide,1877-09-07T00:00:00Z,1946-02-04T00:00:00Z,Principality of Serbia,military personnel,Serbian Orthodox Church
Ito Hirobumi,male,homicide,1841-10-16T00:00:00Z,1909-10-26T00:00:00Z,Japan,diplomat,Shinto
Ito Hirobumi,male,homicide,1841-10-16T00:00:00Z,1909-10-26T00:00:00Z,Japan,diplomat,Rinzai school
Robin Williams,male,suicide,1951-07-21T00:00:00Z,2014-08-11T00:00:00Z,United States of America,stage actor,Episcopal Church
Eva Braun,female,suicide,1912-02-06T00:00:00Z,1945-04-30T00:00:00Z,Weimar Republic,photo lab technician,Lapsed Catholic
Eva Braun,female,suicide,1912-02-06T00:00:00Z,1945-04-30T00:00:00Z,German Empire,photographer,Lapsed Catholic
Trebonianus Gallus,male,homicide,0206-01-01T00:00:00Z,0253-08-01T00:00:00Z,ancient Rome,politician,religion in ancient Rome
Eva Braun,female,suicide,1912-02-06T00:00:00Z,1945-04-30T00:00:00Z,German Empire,model,Lapsed Catholic
Peter III of Russia,male,homicide,1728-02-21T00:00:00Z,1762-07-17T00:00:00Z,Russian Empire,politician,Eastern Christianity
Joseph Goebbels,male,suicide,1897-10-29T00:00:00Z,1945-05-01T00:00:00Z,Germany,propagandist,Lapsed Catholic
Joachim Albrecht Eggeling,male,suicide,1884-11-30T00:00:00Z,1945-04-15T00:00:00Z,Germany,politician,Evangelical Christianity
Joachim Albrecht Eggeling,male,suicide,1884-11-30T00:00:00Z,1945-04-15T00:00:00Z,Germany,university teacher,Evangelical Christianity
Said Afandi al-Chirkawi,male,homicide,1937-10-21T00:00:00Z,2012-08-28T00:00:00Z,Russia,writer,Ash'ari
Abd al-Muhsin as-Sa'dun,male,suicide,1879-05-02T00:00:00Z,1929-11-13T00:00:00Z,Iraq,politician,Sunni Islam
Adolf Hitler,male,suicide,1889-04-20T00:00:00Z,1945-04-30T00:00:00Z,Nazi Germany,statesperson,Lapsed Catholic
Eva Braun,female,suicide,1912-02-06T00:00:00Z,1945-04-30T00:00:00Z,Weimar Republic,photographer,Lapsed Catholic
Marwan al-Shehhi,male,suicide,1978-05-09T00:00:00Z,2001-09-11T00:00:00Z,United Arab Emirates,terrorist,Qutbism
Robin Williams,male,suicide,1951-07-21T00:00:00Z,2014-08-11T00:00:00Z,United States of America,stand-up comedian,Episcopal Church
Milan Nedić,male,suicide,1877-07-20T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Yugoslavia,military personnel,Serbian Orthodox Church
Milan Nedić,male,suicide,1877-09-07T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Serbia,politician,Serbian Orthodox Church
Joseph Goebbels,male,suicide,1897-10-29T00:00:00Z,1945-05-01T00:00:00Z,Germany,demagogue,Lapsed Catholic
Robin Williams,male,suicide,1951-07-21T00:00:00Z,2014-08-11T00:00:00Z,United States of America,audio book narrator,Episcopal Church
Milan Nedić,male,suicide,1878-09-02T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Serbia,military personnel,Serbian Orthodox Church
Eva Braun,female,suicide,1912-02-06T00:00:00Z,1945-04-30T00:00:00Z,Weimar Republic,model,Lapsed Catholic
Marwan al-Shehhi,male,suicide,1978-05-09T00:00:00Z,2001-09-11T00:00:00Z,United Arab Emirates,terrorist,Sunni Islam
Milan Nedić,male,suicide,1877-07-20T00:00:00Z,1946-02-04T00:00:00Z,Principality of Serbia,politician,Serbian Orthodox Church
Sheikh Mujibur Rahman,male,homicide,1920-03-17T00:00:00Z,1975-08-15T00:00:00Z,British Raj,politician,Sunni Islam
Gordian I,male,suicide,0159-01-01T00:00:00Z,0238-01-01T00:00:00Z,ancient Rome,military personnel,religion in ancient Rome
Said Afandi al-Chirkawi,male,homicide,1937-10-21T00:00:00Z,2012-08-28T00:00:00Z,Soviet Union,writer,Sunni Islam
Pat Patterson,male,suicide,1934-03-26T00:00:00Z,2007-10-11T00:00:00Z,United States of America,baseball player,United Methodist Church
Milan Nedić,male,suicide,1877-09-07T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Serbia,military personnel,Serbian Orthodox Church
Milan Nedić,male,suicide,1877-07-20T00:00:00Z,1946-02-04T00:00:00Z,Principality of Serbia,military personnel,Serbian Orthodox Church
Hani Hanjour,male,suicide,1972-08-13T00:00:00Z,2001-09-11T00:00:00Z,Saudi Arabia,aircraft pilot,Qutbism
Boris Berezovsky,male,suicide,1946-01-23T00:00:00Z,2013-03-23T00:00:00Z,Soviet Union,politician,Orthodox Christianity
,male,suicide,1871-01-01T00:00:00Z,1916-01-01T00:00:00Z,Russian Empire,politician,Armenian Apostolic Church
Hrant Dink,male,homicide,1954-09-15T00:00:00Z,2007-01-19T00:00:00Z,Turkey,writer,Armenian Apostolic Church
Hani Hanjour,male,suicide,1972-08-13T00:00:00Z,2001-09-11T00:00:00Z,Saudi Arabia,aircraft pilot,Sunni Islam
Hrant Dink,male,homicide,1954-09-15T00:00:00Z,2007-01-19T00:00:00Z,Turkey,human rights activist,Armenian Apostolic Church
Alexander Hamilton,male,homicide,1757-01-11T00:00:00Z,1804-07-12T00:00:00Z,United States of America,lawyer,Presbyterian Church (U.S.A.)
Alyssa Peterson,female,suicide,1976-02-29T00:00:00Z,2003-09-15T00:00:00Z,United States of America,soldier,Mormonism
Alexander Hamilton,male,homicide,1757-01-11T00:00:00Z,1804-07-12T00:00:00Z,United States of America,politician,Presbyterian Church (U.S.A.)
Alexander Hamilton,male,homicide,1757-01-11T00:00:00Z,1804-07-12T00:00:00Z,United States of America,economist,Presbyterian Church (U.S.A.)
Hrant Dink,male,homicide,1954-09-15T00:00:00Z,2007-01-19T00:00:00Z,Turkey,journalist,Armenian Apostolic Church
,male,suicide,1871-01-01T00:00:00Z,1916-01-01T00:00:00Z,Russian Empire,translator,Armenian Apostolic Church
Said Afandi al-Chirkawi,male,homicide,1937-10-21T00:00:00Z,2012-08-28T00:00:00Z,Soviet Union,writer,Ash'ari
Heinrich Himmler,male,suicide,1900-10-07T00:00:00Z,1945-05-23T00:00:00Z,Germany,agriculturer,Lapsed Catholic
Quintillus,male,suicide,0220-01-01T00:00:00Z,0270-01-01T00:00:00Z,ancient Rome,politician,religion in ancient Rome
Adolf Hitler,male,suicide,1889-04-20T00:00:00Z,1945-04-30T00:00:00Z,Weimar Republic,statesperson,Lapsed Catholic
Pat Patterson,male,suicide,1934-03-26T00:00:00Z,2007-10-11T00:00:00Z,United States of America,coach,United Methodist Church
Alexander Hamilton,male,homicide,1757-01-11T00:00:00Z,1804-07-12T00:00:00Z,United States of America,military personnel,Presbyterian Church (U.S.A.)
Omar Mateen,male,suicide,1986-11-16T00:00:00Z,2016-06-12T00:00:00Z,United States of America,guard,Sunni Islam
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Ottoman Empire,writer,Islam
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Ottoman Empire,novelist,Islam
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Ottoman Empire,journalist,Islam
Salem al-Hazmi,male,suicide,1981-02-02T00:00:00Z,2001-09-11T00:00:00Z,Saudi Arabia,musician,Islam
Frederick Octavius Pickard-Cambridge,male,suicide,1860-11-03T00:00:00Z,1905-02-09T00:00:00Z,United Kingdom of Great Britain and Ireland,entomologist,Anglicanism
Soad Hosny,female,suicide,1943-01-26T00:00:00Z,2001-06-21T00:00:00Z,Egypt,singer,Islam
Milan Babić,male,suicide,1956-02-26T00:00:00Z,2006-03-05T00:00:00Z,Serbia,politician,Orthodox Christianity
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Ottoman Empire,political activist,Islam
Grand Duke Michael Alexandrovich of Russia,male,homicide,1878-12-04T00:00:00Z,1918-06-13T00:00:00Z,Russian Empire,politician,Orthodox Christianity
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Ottoman Empire,military personnel,Islam
Frank Collins,male,suicide,1957-01-01T00:00:00Z,1998-06-16T00:00:00Z,United Kingdom,presbyter,Anglicanism
Shakeb Jalali,male,suicide,1934-10-01T00:00:00Z,1966-11-12T00:00:00Z,British Raj,poet,Islam
Frank Collins,male,suicide,1957-01-01T00:00:00Z,1998-06-16T00:00:00Z,United Kingdom,writer,Anglicanism
Abu Nidal,male,suicide,1937-05-01T00:00:00Z,2002-08-16T00:00:00Z,State of Palestine,politician,Islam
Hoda Saber,male,suicide,1959-03-19T00:00:00Z,2011-06-10T00:00:00Z,Iran,journalist,Islam
Muriel Degauque,female,suicide,1967-07-19T00:00:00Z,2005-11-09T00:00:00Z,Belgium,criminal,Islam
